url,Perfume,Brand,Gender,Rating,Decade,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/penhaligon-s/empressa-27037.html,Empressa,Penhaligon S,female,3.9,2010s,"blood orange, peach, bergamot, mandarin orange, pink pepper","rose, dewberry, cassis, neroli, geranium","patchouli, brown sugar, musk, vanilla, sandalwood, olibanum, amber, cacao",citrus,fruity,woody,sweet,fresh spicy
https://www.fragrantica.com/perfume/desigual/dark-42292.html,Dark,Desigual,male,3.54,2010s,"saffron, cinnamon, ginger, black pepper, nutmeg","vetiver, orange blossom, patchouli, driftwood","black vanilla husk, tonka bean, oakmoss, amber, tobacco, musk",warm spicy,vanilla,woody,sweet,fresh spicy
https://www.fragrantica.com/perfume/dior/les-creations-de-monsieur-dior-diorama-10408.html,Les Creations De Monsieur Dior Diorama,Dior,female,4.11,2010s,"ylang-ylang, bergamot","jasmine, peach, caraway, plum, rose","patchouli, virginia cedar",fruity,white floral,woody,sweet,fresh spicy
https://www.fragrantica.com/perfume/calvin-klein/ck-one-scene-277.html,Ck One Scene,Calvin Klein,unisex,4.21,2000s,"ylang-ylang, ginger, mandarin orange","ginger, lily-of-the-valley, rosemary","spices, vanilla, patchouli, amber, musk, bay leaf",warm spicy,yellow floral,woody,sweet,fresh spicy
https://www.fragrantica.com/perfume/dolce-gabbana/the-one-for-men-platinum-limited-edition-22108.html,The One For Men Platinum Limited Edition,Dolce Gabbana,male,4.26,2010s,"grapefruit, coriander, basil","ginger, cardamom, orange blossom","tobacco, ambergris, cedar",aromatic,warm spicy,citrus,tobacco,fresh spicy
https://www.fragrantica.com/perfume/jacques-fath/le-loden-51570.html,Le Loden,Jacques Fath,unisex,3.93,2010s,"haitian vetiver, ginger, pink pepper, green mandarin","bourbon vetiver, juniper berries, bourbon geranium, raspberry leaf","java vetiver oil, tobacco, patchouli, ylang-ylang",aromatic,woody,earthy,tobacco,fresh spicy
https://www.fragrantica.com/perfume/etro/vetiver-4817.html,Vetiver,Etro,unisex,4.12,1980s,"clary sage, artemisia, bergamot, petitgrain","vetiver, cypress, cedar","tobacco, amber, musk",aromatic,woody,earthy,tobacco,fresh spicy
https://www.fragrantica.com/perfume/penhaligon-s/aiula-90117.html,Aiula,Penhaligon S,unisex,4.07,2020s,"frankincense, black pepper, guatemalan cardamom","plum, tobacco, saffron","vanilla, turmeric",warm spicy,fruity,sweet,tobacco,fresh spicy
https://www.fragrantica.com/perfume/al-haramain-perfumes/sheikh-eau-de-parfum-53260.html,Sheikh Eau De Parfum,Al Haramain Perfumes,unisex,4.21,Unknown,"rosemary, citruses, apple","mint, spices, jasmine, freesia","tobacco, lily-of-the-valley, sandalwood",aromatic,green,white floral,tobacco,fresh spicy
https://www.fragrantica.com/perfume/remy-latour/cigar-9351.html,Cigar,Remy Latour,male,4.06,1990s,"plum, pineapple, bergamot, pear, amalfi lemon","bay leaf, marigold, geranium, jasmine","tobacco, patchouli, sandalwood, virginia cedar, musk",sweet,fruity,woody,tobacco,fresh spicy
